lat,long,timeStamp
52.553372,13.479379,1616946017284
52.553370,13.479399,1616946021303
52.553370,13.479399,1616946025197
52.553345,13.479359,1616946029408
52.553226,13.479215,1616946033315
52.553085,13.479045,1616946037408
52.552936,13.478836,1616946041240
52.552797,13.478606,1616946045099
52.552638,13.478412,1616946049421
52.552482,13.478207,1616946053335
52.552362,13.478052,1616946056283
52.552202,13.477839,1616946060188
52.552073,13.477672,1616946063347
52.551935,13.477512,1616946066088
52.551757,13.477285,1616946070284
52.551577,13.477062,1616946074185
52.551388,13.476838,1616946078133
52.551207,13.476608,1616946082364
52.551033,13.476384,1616946086224
52.550861,13.476158,1616946090105
52.550682,13.475948,1616946094324
52.550510,13.475734,1616946098213
52.550337,13.475527,1616946102458
52.550169,13.475318,1616946106200
52.550003,13.475105,1616946110187
52.549835,13.474893,1616946114132
52.549708,13.474732,1616946117400
52.549541,13.474523,1616946121362
52.549371,13.474307,1616946125169
52.549206,13.474099,1616946129199
52.549046,13.473890,1616946133300
52.548916,13.473734,1616946136210
52.548753,13.473520,1616946140322
52.548583,13.473316,1616946144219
52.548460,13.473149,1616946147372
52.548295,13.472930,1616946151106
52.548136,13.472707,1616946155386
52.547984,13.472454,1616946159338
52.547848,13.472180,1616946163395
52.547728,13.471891,1616946167264
52.547612,13.471594,1616946171200
52.547529,13.471360,1616946174405
52.547423,13.471033,1616946178159
52.547344,13.470786,1616946181107
52.547241,13.470436,1616946185150
52.547151,13.470082,1616946189199
52.547103,13.469801,1616946192173
52.547058,13.469420,1616946196185
52.547014,13.469142,1616946199110
52.546962,13.468870,1616946202335
52.546928,13.468601,1616946205110
52.546881,13.468340,1616946208119
52.546866,13.468102,1616946211347
52.546919,13.467965,1616946214363
52.546926,13.467952,1616946217276
52.546928,13.467953,1616946220505
52.546932,13.467951,1616946223112
52.546936,13.467946,1616946226384
52.546937,13.467941,1616946229113
52.546942,13.467934,1616946232251
52.546943,13.467931,1616946235150
52.546943,13.467931,1616946238291
52.546943,13.467931,1616946241458
52.546947,13.467925,1616946244110
52.546947,13.467925,1616946247202
52.546947,13.467925,1616946251293
52.546947,13.467938,1616946254110
52.546947,13.467941,1616946257294
52.546947,13.467941,1616946261298
52.546947,13.467941,1616946264442
52.546947,13.467941,1616946267097
52.546947,13.467941,1616946271295
52.546947,13.467941,1616946274377
52.546925,13.467792,1616946278327
52.546881,13.467526,1616946282190
52.546682,13.467330,1616946286231
52.546602,13.466971,1616946290226
52.546524,13.466625,1616946294202
52.546449,13.466272,1616946298299
52.546371,13.465905,1616946302096
52.546312,13.465635,1616946305252
52.546230,13.465276,1616946309226
52.546170,13.464995,1616946312132
52.546109,13.464724,1616946315166
52.546019,13.464340,1616946319360
52.545938,13.463963,1616946323105
52.545850,13.463585,1616946327196
52.545766,13.463207,1616946331113
52.545712,13.462925,1616946334180
52.545662,13.462651,1616946337204
52.545616,13.462395,1616946340344
52.545581,13.462141,1616946343114
52.545541,13.461887,1616946346209
52.545488,13.461630,1616946349157
52.545473,13.461358,1616946352176
52.545478,13.461090,1616946355384
52.545580,13.460888,1616946358458
52.545777,13.460775,1616946362253
52.545927,13.460685,1616946365360
52.546083,13.460591,1616946368172
52.546293,13.460470,1616946372100
52.546458,13.460371,1616946375355
52.546669,13.460246,1616946379370
52.546894,13.460127,1616946383115
52.547136,13.459982,1616946387361
52.547386,13.459858,1616946391182
52.547636,13.459691,1616946395104
52.547902,13.459545,1616946399267
52.548044,13.459266,1616946403258
52.547955,13.458885,1616946407301
52.547875,13.458592,1616946410079
52.547803,13.458210,1616946414192
52.547707,13.457830,1616946418102
52.547621,13.457438,1616946422233
52.547522,13.457039,1616946426330
52.547441,13.456624,1616946430204
52.547340,13.456219,1616946434499
52.547255,13.455809,1616946438107
52.547183,13.455502,1616946441102
52.547112,13.455089,1616946445545
52.547043,13.454708,1616946449125
52.546955,13.454341,1616946453342
52.546883,13.453945,1616946457378
52.546820,13.453658,1616946460204
52.546736,13.453271,1616946464316
52.546640,13.452887,1616946468170
52.546554,13.452470,1616946472458
52.546473,13.452096,1616946476403
52.546386,13.451650,1616946480304
52.546289,13.451217,1616946484110
52.546200,13.450775,1616946488277
52.546102,13.450329,1616946492225
52.546128,13.449920,1616946496378
52.546279,13.449577,1616946500304
52.546420,13.449241,1616946504208
52.546548,13.448927,1616946508105
52.546668,13.448632,1616946512328
52.546784,13.448374,1616946516390
52.546847,13.448232,1616946520180
52.546847,13.448233,1616946524110
52.546848,13.448231,1616946528458
52.546852,13.448230,1616946532280
52.546852,13.448230,1616946536091
52.546878,13.448174,1616946540458
52.546949,13.448087,1616946544240
52.547061,13.447987,1616946548356
52.547120,13.447791,1616946552304
52.547002,13.447506,1616946556195
52.546897,13.447283,1616946559198
52.546748,13.446965,1616946563439
52.546604,13.446650,1616946567298
52.546495,13.446420,1616946570108
52.546382,13.446168,1616946573374
52.546263,13.445919,1616946576111
52.546150,13.445663,1616946579128
52.546041,13.445413,1616946582372
52.545929,13.445165,1616946585395
52.545816,13.444916,1616946588440
52.545704,13.444666,1616946591324
52.545587,13.444415,1616946594234
52.545434,13.444092,1616946598210
52.545316,13.443847,1616946601311
52.545204,13.443594,1616946604110
52.545081,13.443351,1616946607108
52.544896,13.443055,1616946611317
52.544761,13.442824,1616946614339
52.544576,13.442531,1616946618321
52.544422,13.442362,1616946621109
52.544209,13.442125,1616946625265
52.544006,13.441879,1616946629269
52.543859,13.441655,1616946632458
52.543715,13.441477,1616946635324
52.543492,13.441254,1616946639324
52.543323,13.441098,1616946642309
52.543108,13.440862,1616946646218
52.542955,13.440661,1616946649128
52.542745,13.440432,1616946653107
52.542545,13.440195,1616946657344
52.542339,13.439961,1616946661344
52.542141,13.439730,1616946665307
52.541953,13.439493,1616946669110
52.541793,13.439240,1616946673458
52.541646,13.439085,1616946677103
52.541550,13.438984,1616946680107
52.541484,13.438920,1616946684442
52.541492,13.438931,1616946688115
52.541492,13.438932,1616946692369
52.541491,13.438933,1616946695207
52.541491,13.438933,1616946699224
52.541491,13.438946,1616946703194
52.541491,13.438946,1616946707215
52.541491,13.438946,1616946711560
52.541491,13.438946,1616946714286
52.541491,13.438946,1616946717453
52.541491,13.438946,1616946720190
52.541491,13.438946,1616946723244
52.541482,13.438943,1616946726526
52.541439,13.438893,1616946729442
52.541354,13.438777,1616946732264
52.541294,13.438692,1616946735169
52.541246,13.438609,1616946738559
52.541242,13.438606,1616946741292
52.541240,13.438607,1616946744333
52.541241,13.438606,1616946748107
52.541241,13.438606,1616946752167
52.541241,13.438606,1616946755536
52.541241,13.438606,1616946758407
52.541241,13.438606,1616946762508
52.541241,13.438606,1616946766458
52.541241,13.438606,1616946770520
52.541241,13.438606,1616946774378
52.541241,13.438606,1616946778458
52.541192,13.438607,1616946781458
52.541125,13.438849,1616946785458
52.541035,13.439146,1616946789262
52.540927,13.439454,1616946793310
52.540827,13.439770,1616946797458
52.540715,13.440075,1616946801314
52.540599,13.440395,1616946805567
52.540478,13.440706,1616946809115
52.540362,13.441020,1616946813141
52.540258,13.441344,1616946817458
52.540173,13.441580,1616946820250
52.540060,13.441893,1616946824241
52.539962,13.442201,1616946828126
52.539856,13.442493,1616946832404
52.539751,13.442776,1616946836142
52.539645,13.443054,1616946840149
52.539567,13.443266,1616946843325
52.539491,13.443471,1616946846283
52.539414,13.443691,1616946849199
52.539336,13.443908,1616946852237
52.539260,13.444119,1616946855304
52.539177,13.444329,1616946858570
52.539090,13.444540,1616946861260
52.539013,13.444752,1616946864328
52.538938,13.444952,1616946867458
52.538859,13.445161,1616946870170
52.538757,13.445436,1616946874197
52.538671,13.445715,1616946878394
52.538565,13.446015,1616946882456
52.538475,13.446215,1616946885267
52.538372,13.446497,1616946889397
52.538268,13.446779,1616946893193
52.538163,13.447060,1616946897197
52.538075,13.447333,1616946901251
52.537970,13.447605,1616946905406
52.537870,13.447878,1616946909210
52.537767,13.448161,1616946913214
52.537660,13.448444,1616946917087
52.537521,13.448693,1616946921370
52.537418,13.448947,1616946925227
52.537282,13.449142,1616946929350
52.537100,13.449144,1616946933317
52.536962,13.448933,1616946937341
52.536838,13.448743,1616946941243
52.536746,13.448599,1616946944246
52.536621,13.448411,1616946948188
52.536501,13.448219,1616946952329
52.536382,13.448036,1616946956494
52.536292,13.447896,1616946959262
52.536170,13.447704,1616946963126
52.536048,13.447509,1616946967381
52.535926,13.447320,1616946971293
52.535807,13.447139,1616946975134
52.535686,13.446945,1616946979119
52.535551,13.446738,1616946983540
52.535404,13.446509,1616946987200
52.535250,13.446255,1616946991108
52.535079,13.445996,1616946995400
52.534892,13.445739,1616946999128
52.534718,13.445432,1616947003331
52.534525,13.445128,1616947007467
52.534339,13.444821,1616947011191
52.534180,13.444522,1616947015183
52.534021,13.444257,1616947019442
52.533881,13.444044,1616947023163
52.533863,13.444019,1616947027154
52.533859,13.444021,1616947030150
52.533855,13.444021,1616947034553
52.533855,13.444021,1616947037455
52.533854,13.444032,1616947041181
52.533765,13.443895,1616947045158
52.533623,13.443670,1616947049110
52.533463,13.443408,1616947053250
52.533307,13.443138,1616947057365
52.533146,13.442880,1616947061106
52.532984,13.442624,1616947065427
52.532826,13.442374,1616947069442
52.532720,13.442200,1616947072124
52.532619,13.442047,1616947075256
52.532529,13.441905,1616947078166
52.532411,13.441741,1616947082388
52.532344,13.441637,1616947085132
52.532318,13.441489,1616947088286
52.532452,13.441185,1616947092190
52.532616,13.440860,1616947096201
52.532784,13.440505,1616947100172
52.532957,13.440149,1616947104290
52.533131,13.439806,1616947108309
