long,lat,timeStamp
13.410354,52.547427,0.0
13.41145,52.54752,4.525728155339806
13.412988,52.54765,9.051456310679612
13.413029,52.547654,13.577184466019418
13.413071,52.547658,18.102912621359224
13.41323,52.54767,22.62864077669903
13.413287,52.547666,27.154368932038835
13.413519,52.547647,31.68009708737864
13.413564,52.547643,36.20582524271845
13.413697,52.547633,40.73155339805825
13.413772,52.547628,45.25728155339806
13.414011,52.547609,49.783009708737865
13.41408,52.547604,54.30873786407767
13.414251,52.54759,58.834466019417476
13.414444,52.547575,63.36019417475728
13.414582,52.547565,67.88592233009709
13.414636,52.547561,72.4116504854369
13.415159,52.54752,76.9373786407767
13.415295,52.547506,81.4631067961165
13.415423,52.547482,85.98883495145631
13.415511,52.547465,90.51456310679612
13.41587,52.547342,95.04029126213592
13.416371,52.547169,99.56601941747573
13.416502,52.547124,104.09174757281554
13.416706,52.547054,108.61747572815534
13.416742,52.547042,113.14320388349515
13.416808,52.547019,117.66893203883495
13.417175,52.546893,122.19466019417476
13.417224,52.546876,126.72038834951456
13.417853,52.54666,131.24611650485437
13.418036,52.546597,135.77184466019418
13.418223,52.546531,140.29757281553398
13.418257,52.546519,144.8233009708738
13.418154,52.546424,149.3490291262136
13.418117,52.546389,153.8747572815534
13.4177,52.546004,158.4004854368932
13.417666,52.545973,162.926213592233
13.417459,52.545784,167.45194174757282
13.417201,52.545544,171.97766990291262
13.416758,52.545128,176.50339805825243
13.416557,52.544944,181.02912621359224
13.416446,52.544838,185.55485436893204
13.416349,52.544745,190.08058252427185
13.416253,52.544652,194.60631067961165
13.415861,52.544293,199.13203883495146
13.415671,52.544123,203.65776699029126
13.41564,52.544096,208.18349514563107
13.415559,52.544023,212.70922330097088
13.415492,52.543959,217.23495145631068
13.415462,52.543931,221.7606796116505
13.415295,52.543771,226.2864077669903
13.415104,52.543591,230.8121359223301
13.414864,52.54337,235.3378640776699
13.414492,52.543035,239.8635922330097
13.414329,52.542888,244.38932038834952
13.414196,52.542764,248.91504854368932
13.413835,52.542439,253.44077669902913
13.413343,52.541996,257.96650485436896
13.412672,52.541385,262.4922330097088
13.412588,52.541279,267.01796116504863
13.412512,52.541183,271.54368932038847
13.412416,52.5411,276.0694174757283
13.412316,52.541108,280.59514563106814
13.412277,52.541111,285.12087378640797
13.412019,52.54113,289.6466019417478
13.411969,52.541132,294.17233009708764
13.411969,52.541102,298.6980582524275
13.411969,52.54107,303.2237864077673
13.411969,52.541014,307.74951456310714
13.411969,52.540993,312.275242718447
13.411969,52.540962,316.8009708737868
13.411967,52.540898,321.32669902912664
13.411966,52.540881,325.8524271844665
13.411965,52.540738,330.3781553398063
13.411965,52.540709,334.90388349514615
13.411833,52.540584,339.429611650486
13.411419,52.540188,343.9553398058258
13.410659,52.539454,348.48106796116565
13.410597,52.539394,353.0067961165055
13.410533,52.539333,357.5325242718453
13.41051,52.539311,362.05825242718515
13.41047,52.539274,366.583980582525
13.410404,52.539215,371.1097087378648
13.409714,52.538571,375.63543689320466
13.409588,52.538451,380.1611650485445
13.408951,52.537857,384.6868932038843
13.408739,52.537653,389.21262135922416
13.408053,52.536995,393.738349514564
13.406919,52.535887,398.2640776699038
13.406747,52.535712,402.78980582524366
13.406753,52.5357,407.3155339805835
13.407316,52.534637,411.84126213592333
13.40799,52.534362,416.36699029126316
13.408136,52.534302,420.892718446603
13.408309,52.534234,425.41844660194283
13.408364,52.534212,429.94417475728267
13.409715,52.533676,434.4699029126225
13.410187,52.533485,438.99563106796234
13.410813,52.533236,443.52135922330217
13.41094,52.533187,448.047087378642
13.411368,52.533015,452.57281553398184
13.412155,52.532704,457.0985436893217
13.412302,52.532675,461.6242718446615
13.412446,52.532645,466.15000000000134
13.41242,52.532548,470.6757281553412
13.41234,52.532304,475.201456310681
13.412276,52.532061,479.72718446602084
13.412176,52.531665,484.2529126213607
13.412113,52.531508,488.7786407767005
13.412007,52.53135,493.30436893204035
13.411948,52.531281,497.8300970873802
13.411831,52.531172,502.35582524272
13.41157,52.530976,506.88155339805985
13.4111,52.530621,511.4072815533997
13.411013,52.530556,515.9330097087395
13.410653,52.530279,520.4587378640794
13.410446,52.530085,524.9844660194192
13.410404,52.52998,529.510194174759
13.41031,52.529857,534.0359223300989
13.410288,52.529827,538.5616504854387
13.410153,52.529655,543.0873786407785
13.409904,52.52934,547.6131067961184
13.409845,52.529266,552.1388349514582
13.409597,52.528952,556.664563106798
13.409567,52.528914,561.1902912621379
13.409508,52.528838,565.7160194174777
13.409458,52.528777,570.2417475728175
13.40944,52.528754,574.7674757281574
13.409405,52.528711,579.2932038834972
13.409328,52.528624,583.818932038837
13.409311,52.5286,588.3446601941769
13.4093,52.528586,592.8703883495167
13.409123,52.528352,597.3961165048565
13.409072,52.528283,601.9218446601964
13.40909,52.528283,606.4475728155362
13.409427,52.528239,610.973300970876
13.409502,52.528226,615.4990291262159
13.409318,52.527777,620.0247572815557
13.40929,52.527717,624.5504854368955
13.408913,52.52689,629.0762135922354
13.408893,52.526844,633.6019417475752
13.408865,52.526779,638.127669902915
13.407932,52.524589,642.6533980582549
13.407907,52.52453,647.1791262135947
13.407874,52.524437,651.7048543689345
13.407381,52.523783,656.2305825242744
13.407232,52.523492,660.7563106796142
13.407196,52.523423,665.282038834954
13.407149,52.523346,669.8077669902939
13.407062,52.523192,674.3334951456337
13.406985,52.523074,678.8592233009736
13.406936,52.523,683.3849514563134
13.406871,52.522943,687.9106796116532
13.406682,52.522837,692.436407766993
13.406501,52.522746,696.9621359223329
13.406408,52.522699,701.4878640776727
13.406344,52.522666,706.0135922330126
13.406322,52.522655,710.5393203883524
13.40572,52.522356,715.0650485436922
13.405416,52.52223,719.5907766990321
13.4053,52.522183,724.1165048543719
13.405045,52.522088,728.6422330097117
13.404738,52.521991,733.1679611650516
13.404517,52.52196,737.6936893203914
13.404486,52.521922,742.2194174757312
13.404423,52.521891,746.7451456310711
13.404224,52.521827,751.2708737864109
13.403575,52.521601,755.7966019417507
13.403374,52.521535,760.3223300970906
13.403285,52.521504,764.8480582524304
13.403112,52.521449,769.3737864077702
13.40301,52.521417,773.8995145631101
13.402919,52.521388,778.4252427184499
13.402863,52.521371,782.9509708737897
13.402971,52.521291,787.4766990291296
13.403637,52.520792,792.0024271844694
13.403686,52.520756,796.5281553398092
13.403847,52.520635,801.0538834951491
13.404307,52.520285,805.5796116504889
13.404406,52.520211,810.1053398058287
13.404451,52.520176,814.6310679611686
13.404628,52.520044,819.1567961165084
13.404811,52.519918,823.6825242718483
13.404977,52.51982,828.2082524271881
13.404992,52.51981,832.7339805825279
13.405265,52.519709,837.2597087378678
13.406012,52.519194,841.7854368932076
13.406533,52.518833,846.3111650485474
13.406741,52.518689,850.8368932038873
13.406859,52.518519,855.3626213592271
13.406903,52.518489,859.8883495145669
13.406949,52.518457,864.4140776699068
13.407084,52.518364,868.9398058252466
13.40694,52.518307,873.4655339805864
13.406886,52.518284,877.9912621359263
13.406692,52.518204,882.5169902912661
13.40629,52.518038,887.0427184466059
13.405673,52.517774,891.5684466019458
13.40561,52.517748,896.0941747572856
13.405518,52.517708,900.6199029126254
13.405374,52.517647,905.1456310679653
13.405329,52.517628,909.6713592233051
13.404497,52.517278,914.1970873786449
13.404346,52.517214,918.7228155339848
13.404307,52.517198,923.2485436893246
13.403797,52.516988,927.7742718446644
13.403737,52.516965,932.3000000000043
13.403547,52.516887,936.8257281553441
13.403145,52.516719,941.351456310684
13.403042,52.516678,945.8771844660238
13.402739,52.516555,950.4029126213636
13.402679,52.51653,954.9286407767034
13.402463,52.516443,959.4543689320433
13.402603,52.51636,963.9800970873831
13.402793,52.51622,968.505825242723
13.40295,52.516105,973.0315533980628
13.402998,52.51607,977.5572815534026
13.403795,52.515489,982.0830097087425
