lat,long,timeStamp,Distance
52.512859,13.398071,377.5500000000000000000000003,1.828499999999999999999999996
52.512808,13.398205,381.6625000000000000000000003,1.849074999999999999999999996
52.512673,13.398529,385.7750000000000000000000003,1.869649999999999999999999996
52.51251,13.398953,389.8875000000000000000000003,1.890224999999999999999999996
52.512479,13.399032,394.0000000000000000000000003,1.910799999999999999999999996
52.512338,13.399375,398.1125000000000000000000003,1.931374999999999999999999996
52.512073,13.400028,402.2250000000000000000000003,1.951949999999999999999999996
52.51203,13.40014,406.3375000000000000000000003,1.972524999999999999999999996
52.511988,13.400246,410.4500000000000000000000003,1.993099999999999999999999996
52.511931,13.400383,414.5625000000000000000000003,2.013674999999999999999999996
52.511835,13.400606,418.6750000000000000000000003,2.034249999999999999999999996
52.511696,13.400953,422.7875000000000000000000003,2.054824999999999999999999996
52.511636,13.401094,426.9000000000000000000000003,2.075399999999999999999999996
52.511561,13.401005,430.0000000000000000000000003,2.085699999999999999999999996
52.511446,13.401123,434.0000000000000000000000003,2.098949999999999999999999996
52.511353,13.401197,438.0000000000000000000000003,2.112199999999999999999999996
52.511208,13.401312,441.6000000000000000000000003,2.130099999999999999999999996
52.511232,13.401397,443.6333333333333333333333336,2.140333333333333333333333329
52.511284,13.401584,445.6666666666666666666666669,2.150566666666666666666666662
52.511327,13.401721,447.7000000000000000000000002,2.160799999999999999999999995
52.511155,13.401935,459.4857142857142857142857145,2.219714285714285714285714281
52.510807,13.402366,471.2714285714285714285714288,2.278628571428571428571428567
52.5104,13.402851,483.0571428571428571428571431,2.337542857142857142857142853
52.510254,13.403025,494.8428571428571428571428574,2.396457142857142857142857139
52.509941,13.403393,506.6285714285714285714285717,2.455371428571428571428571425
52.508929,13.404584,518.4142857142857142857142860,2.514285714285714285714285711
52.508327,13.405303,530.2000000000000000000000003,2.573199999999999999999999997
52.507318,13.40662,541.9000000000000000000000003,2.631679999999999999999999997
52.50729,13.406655,553.6000000000000000000000003,2.690159999999999999999999997
52.506853,13.407214,565.3000000000000000000000003,2.748639999999999999999999997
