lat,long,timeStamp,Distance
52.498132,13.447152,0,0
52.497824,13.446792,5.820000,0.029120
52.496986,13.445816,11.640000,0.058240
52.496917,13.445768,17.460000,0.087360
52.496694,13.445661,23.280000,0.116480
52.496628,13.445665,29.100000,0.145600
52.496529,13.445651,34.920000,0.174720
52.49634,13.445671,40.740000,0.203840
52.496161,13.445752,46.560000,0.232960
52.49589,13.44601,52.380000,0.262080
52.495848,13.446055,58.200000,0.291200
52.49579,13.445997,61.45555555555555555555555556,0.3042333333333333333333333333
52.495741,13.445904,64.71111111111111111111111112,0.3172666666666666666666666666
52.495702,13.445807,67.96666666666666666666666668,0.3302999999999999999999999999
52.495639,13.445686,71.22222222222222222222222224,0.3433333333333333333333333332
52.495199,13.445121,74.47777777777777777777777780,0.3563666666666666666666666665
52.495175,13.44509,77.73333333333333333333333336,0.3693999999999999999999999998
52.495119,13.444981,80.98888888888888888888888892,0.3824333333333333333333333331
52.495105,13.444954,84.24444444444444444444444448,0.3954666666666666666666666664
52.495075,13.444895,87.50000000000000000000000004,0.4084999999999999999999999997
52.495058,13.44479,89.00000000000000000000000004,0.4157999999999999999999999997
52.495037,13.444761,92.60000000000000000000000004,0.4338071428571428571428571426
52.494977,13.444684,96.20000000000000000000000004,0.4518142857142857142857142855
52.494442,13.443991,99.80000000000000000000000004,0.4698214285714285714285714284
52.49441,13.443988,103.4000000000000000000000000,0.4878285714285714285714285713
52.494396,13.443987,107.0000000000000000000000000,0.5058357142857142857142857142
52.494311,13.443876,110.6000000000000000000000000,0.5238428571428571428571428571
52.493893,13.443334,114.2000000000000000000000000,0.5418500000000000000000000000
52.493815,13.443197,117.8000000000000000000000000,0.5598571428571428571428571429
52.493767,13.443037,121.4000000000000000000000000,0.5778642857142857142857142858
52.493758,13.442977,125.0000000000000000000000000,0.5958714285714285714285714287
52.493753,13.44292,128.6000000000000000000000000,0.6138785714285714285714285716
52.493758,13.442738,132.2000000000000000000000000,0.6318857142857142857142857145
52.493801,13.442559,135.8000000000000000000000000,0.6498928571428571428571428574
52.493932,13.442172,139.4000000000000000000000000,0.6679000000000000000000000003
52.493939,13.442179,141.5500000000000000000000000,0.6738000000000000000000000003
52.494025,13.442256,143.7000000000000000000000000,0.6797000000000000000000000003
52.494487,13.440911,160.2666666666666666666666667,0.7625666666666666666666666670
52.494529,13.440788,176.8333333333333333333333334,0.8454333333333333333333333337
52.49512,13.439053,193.4000000000000000000000001,0.9283000000000000000000000004
52.495004,13.438941,196.7333333333333333333333334,0.9446388888888888888888888893
52.494917,13.438854,200.0666666666666666666666667,0.9609777777777777777777777782
52.494593,13.438531,203.4000000000000000000000000,0.9773166666666666666666666671
52.494549,13.438487,206.7333333333333333333333333,0.9936555555555555555555555560
52.494365,13.438303,210.0666666666666666666666666,1.009994444444444444444444445
52.494106,13.438045,213.3999999999999999999999999,1.026333333333333333333333334
52.49397,13.437909,216.7333333333333333333333332,1.042672222222222222222222223
52.493955,13.437894,220.0666666666666666666666665,1.059011111111111111111111112
52.493939,13.437878,223.3999999999999999999999998,1.075350000000000000000000001
52.493603,13.437543,226.7333333333333333333333331,1.091688888888888888888888890
52.493564,13.437503,230.0666666666666666666666664,1.108027777777777777777777779
52.493463,13.437402,233.3999999999999999999999997,1.124366666666666666666666668
52.493358,13.4373,236.7333333333333333333333330,1.140705555555555555555555557
52.493319,13.437261,240.0666666666666666666666663,1.157044444444444444444444446
52.493174,13.437119,243.3999999999999999999999996,1.173383333333333333333333335
52.492832,13.436783,246.7333333333333333333333329,1.189722222222222222222222224
