long,lat,timeStamp
13.450639,52.554194,0
13.45029,52.554043,8.100000
13.450236,52.553998,16.200000
13.450241,52.553949,24.300000
13.450622,52.553669,48.600000
13.449424,52.5531,59.700000
13.449328,52.553055,70.800000
13.448868,52.553139,74.550000
13.448795,52.553129,78.300000
13.448536,52.552979,83.100000
13.448716,52.552656,87.450000
13.448749,52.552612,91.800000
13.449071,52.552595,96.200000
13.449123,52.552497,106.5666666666666666666666667
13.449615,52.551564,116.9333333333333333333333334
13.449773,52.551264,127.3000000000000000000000001
13.449688,52.551155,134.1615384615384615384615386
13.449637,52.551091,141.0230769230769230769230771
13.44959,52.551035,147.8846153846153846153846156
13.44928,52.550671,154.7461538461538461538461541
13.448778,52.550083,161.6076923076923076923076926
13.448549,52.549813,168.4692307692307692307692311
13.448202,52.549405,175.3307692307692307692307696
13.448171,52.549368,182.1923076923076923076923081
13.448135,52.549326,189.0538461538461538461538466
13.448126,52.549315,195.9153846153846153846153851
13.447462,52.548554,202.7769230769230769230769236
13.447131,52.548168,209.6384615384615384615384621
13.446736,52.547705,216.5000000000000000000000006
13.447609,52.547269,221.8750000000000000000000006
13.447758,52.547194,227.2500000000000000000000006
13.447821,52.547151,232.6250000000000000000000006
13.447913,52.547064,238.0000000000000000000000006
13.44797,52.547005,243.7619047619047619047619054
13.447994,52.54698,249.5238095238095238095238102
13.448054,52.546918,255.2857142857142857142857150
13.448171,52.546851,261.0476190476190476190476198
13.448276,52.546807,266.8095238095238095238095246
13.448447,52.546738,272.5714285714285714285714294
13.44893,52.54654,278.3333333333333333333333342
13.448995,52.546515,284.0952380952380952380952390
13.449222,52.546419,289.8571428571428571428571438
13.44936,52.546359,295.6190476190476190476190486
13.449428,52.54633,301.3809523809523809523809534
13.450025,52.546083,307.1428571428571428571428582
13.45017,52.546021,312.9047619047619047619047630
13.450226,52.545999,318.6666666666666666666666678
13.451315,52.54556,324.4285714285714285714285726
13.451699,52.54541,330.1904761904761904761904774
13.451766,52.545385,335.9523809523809523809523822
13.452162,52.545341,341.7142857142857142857142870
13.45221,52.545316,347.4761904761904761904761918
13.452913,52.544958,353.2380952380952380952380966
13.453443,52.54468,359.0000000000000000000000014
13.453311,52.544496,363.5000000000000000000000014
13.453163,52.544358,367.2000000000000000000000014
13.453654,52.544164,373.2500000000000000000000014
13.453911,52.544059,379.3000000000000000000000014
13.453866,52.544016,384.3000000000000000000000014
13.453434,52.543619,389.3000000000000000000000014
13.453523,52.54358,394.3000000000000000000000014
13.453652,52.543494,399.3000000000000000000000014
13.453972,52.543035,404.3000000000000000000000014
13.453995,52.542896,409.3000000000000000000000014
13.454641,52.542621,415.6000000000000000000000014
13.45495,52.54249,421.9000000000000000000000014
13.455141,52.54241,428.2000000000000000000000014
13.454715,52.542008,432.0000000000000000000000014
13.454596,52.541895,435.8000000000000000000000014
13.45458,52.54189,439.6000000000000000000000014
13.454496,52.541856,443.4000000000000000000000014
13.454447,52.541835,444.2333333333333333333333347
13.454419,52.541811,445.0666666666666666666666680
13.454374,52.541771,445.9000000000000000000000013
13.454775,52.541614,450.1333333333333333333333346
13.455044,52.541492,454.3666666666666666666666679
13.455134,52.541441,458.6000000000000000000000012
13.455184,52.541387,463.9358208955223880597014937
13.455221,52.541325,469.2716417910447761194029862
13.455251,52.541239,474.6074626865671641791044787
13.45525,52.541153,479.9432835820895522388059712
13.455198,52.541018,485.2791044776119402985074637
13.455147,52.540967,490.6149253731343283582089562
13.455087,52.540919,495.9507462686567164179104487
13.454832,52.540752,501.2865671641791044776119412
13.454155,52.540308,506.6223880597014925373134337
13.453276,52.539755,511.9582089552238805970149262
13.453061,52.539619,517.2940298507462686567164187
13.452652,52.539362,522.6298507462686567164179112
13.452601,52.53933,527.9656716417910447761194037
13.4525,52.539266,533.3014925373134328358208962
13.451907,52.538836,538.6373134328358208955223887
13.451647,52.538628,543.9731343283582089552238812
13.451154,52.53829,549.3089552238805970149253737
13.45112,52.538268,554.6447761194029850746268662
13.45097,52.538171,559.9805970149253731343283587
13.450603,52.537935,565.3164179104477611940298512
13.450423,52.53782,570.6522388059701492537313437
13.449714,52.537376,575.9880597014925373134328362
13.44967,52.537348,581.3238805970149253731343287
13.449502,52.537244,586.6597014925373134328358212
13.449417,52.537199,591.9955223880597014925373137
13.449277,52.537115,597.3313432835820895522388062
13.448791,52.536806,602.6671641791044776119402987
13.44834,52.536521,608.0029850746268656716417912
13.448082,52.536357,613.3388059701492537313432837
13.447429,52.535936,618.6746268656716417910447762
13.447291,52.535848,624.0104477611940298507462687
13.446839,52.535573,629.3462686567164179104477612
13.446568,52.535407,634.6820895522388059701492537
13.446508,52.535369,640.0179104477611940298507462
13.446441,52.535327,645.3537313432835820895522387
13.445838,52.534946,650.6895522388059701492537312
13.445676,52.534844,656.0253731343283582089552237
13.445588,52.534788,661.3611940298507462686567162
13.445145,52.534508,666.6970149253731343283582087
13.444628,52.534179,672.0328358208955223880597012
13.444553,52.53413,677.3686567164179104477611937
13.444485,52.534087,682.7044776119402985074626862
13.444078,52.533843,688.0402985074626865671641787
13.444025,52.533809,693.3761194029850746268656712
13.443781,52.533652,698.7119402985074626865671637
13.443515,52.533482,704.0477611940298507462686562
13.443338,52.533373,709.3835820895522388059701487
13.443254,52.533322,714.7194029850746268656716412
13.44321,52.533295,720.0552238805970149253731337
13.443185,52.533279,725.3910447761194029850746262
13.442461,52.532823,730.7268656716417910447761187
13.441725,52.532353,736.0626865671641791044776112
13.441679,52.532323,741.3985074626865671641791037
13.441603,52.532256,746.7343283582089552238805962
13.441584,52.532241,752.0701492537313432835820887
13.44145,52.532162,757.4059701492537313432835812
13.441412,52.532141,762.7417910447761194029850737
13.441285,52.532067,768.0776119402985074626865662
13.441133,52.531971,773.4134328358208955223880587
13.440774,52.531739,778.7492537313432835820895512
13.440744,52.531719,784.0850746268656716417910437
13.439347,52.530824,789.4208955223880597014925362
13.438789,52.530464,794.7567164179104477611940287
13.438374,52.530197,800.0925373134328358208955212
13.437695,52.529757,805.4283582089552238805970137
13.437621,52.529707,810.7641791044776119402985062
13.437531,52.529672,816.0999999999999999999999987
13.437594,52.529597,819.9999999999999999999999987
