lat,long,timeStamp,Distance,Unix Timestamp
52.49894446,13.32480221,0,0.0,1611408800558
52.49888053,13.32465379,3,0.012307542335409507,1611408803677
52.49878934,13.32458096,6,0.02358242167808124,1611408806786
52.49872485,13.32456349,9,0.030850252436998973,1611408809798
52.49867456,13.32456495,12,0.03644312632705687,1611408812863
52.49859803,13.32458015,15,0.04501486609703697,1611408815937
52.49850851,13.32458404,18,0.054972532102290125,1611408819059
52.49844277,13.32452493,21,0.06330599143082558,1611408822183
52.49833908,13.32450632,24,0.07490442872352168,1611408825294
52.49827685,13.32460704,27,0.0846187838808246,1611408828383
52.4982476,13.32473904,30,0.09412790826948893,1611408831441
52.49823517,13.32490846,33,0.10567960809927401,1611408834555
52.49824412,13.32512695,37,0.12050351090319522,1611408837644
52.49828351,13.3254239,40,0.14107687348147438,1611408840718
52.49833014,13.32578758,43,0.16623587376293533,1611408843822
52.49837398,13.32611957,46,0.1892321647807832,1611408846916
52.49839807,13.32639074,49,0.20778309734843498,1611408849929
52.49838769,13.32668426,52,0.22768606223911006,1611408852982
52.49825398,13.32686732,55,0.24704108456422538,1611408856041
52.49805506,13.32689996,58,0.269270095077236,1611408859155
52.49787573,13.32696141,61,0.28963997947474873,1611408862274
52.49769458,13.3270088,64,0.31003683191531,1611408865387
52.49769458,13.3270088,67,0.31003683191531,1611408868487
52.49733336,13.32713689,71,0.3511280213771171,1611408871595
52.49714567,13.32712992,74,0.37200355900707316,1611408874669
52.49695991,13.32710103,77,0.3927515377255364,1611408877702
52.49643304,13.32701184,80,0.45164719931628355,1611408880741
52.49631642,13.32700592,83,0.4646209609634198,1611408883863
52.49627444,13.32700312,86,0.4692927773919634,1611408886993
52.49625481,13.32701315,89,0.47157870856100437,1611408890080
52.49621009,13.32704164,92,0.4769122844947232,1611408893121
52.49615124,13.32711631,95,0.48518115400661066,1611408896198
52.49606997,13.32717662,98,0.4950974853148475,1611408899198
52.49595309,13.3271807,101,0.5080969009653664,1611408902292
52.49564196,13.32717235,104,0.5426976440767627,1611408905409
52.49541442,13.32713576,107,0.5681199400143423,1611408908501
52.49517386,13.32715033,111,0.5948872083920873,1611408911593
52.49495994,13.3271634,114,0.6186905111301665,1611408914692
52.49478371,13.32727919,117,0.6397961454353089,1611408917798
52.49472252,13.32737941,120,0.6494049274158069,1611408920807
52.49463632,13.32744733,123,0.6600358019654698,1611408923838
52.49460955,13.32768244,126,0.6762285955838087,1611408926841
52.49466071,13.32789265,129,0.6915546037492426,1611408929963
52.4947233,13.3281158,132,0.7081877892115328,1611408933059
52.49477746,13.32834324,135,0.7247211708001168,1611408936142
52.49480575,13.32859896,138,0.7423167109541174,1611408939236
52.49483012,13.32884592,141,0.7592538999323727,1611408942325
52.49509223,13.32890682,144,0.7886894066348739,1611408945439
52.49514465,13.32918647,147,0.8084983648453794,1611408948452
52.49515195,13.3295126,150,0.8305918733612812,1611408951455
52.49516195,13.32978995,153,0.8494010134879963,1611408954554
52.49516393,13.33003258,157,0.8658282301590532,1611408957598
52.49516051,13.3302728,160,0.8820952634579021,1611408960720
52.49515727,13.33054755,163,0.900698978142072,1611408963800
52.4952062,13.3307755,166,0.9170619274177588,1611408966919
52.49532147,13.33098584,169,0.9362206521911299,1611408970033
52.49530838,13.33127873,172,0.9561022149836251,1611408973036
52.49528008,13.33153691,175,0.9738616376477998,1611408976145
52.49533842,13.33179074,178,0.9922292584091438,1611408979204
52.49535483,13.33209991,181,1.0132389740685683,1611408982287
52.49535825,13.33236745,184,1.0313550026193001,1611408985376
52.49538492,13.33265967,187,1.0513588739243072,1611408988430
52.49537402,13.33300941,190,1.0750667105426872,1611408991498
52.49537911,13.33335069,193,1.0981777499776604,1611408994555
52.49537807,13.33358682,197,1.1141637893770218,1611408997641
52.49537468,13.33379048,200,1.127956396416684,1611409000645
52.49532695,13.3341278,203,1.151401063163921,1611409003694
52.49513006,13.33476071,206,1.1995174757171236,1611409006787
52.49486138,13.33438621,209,1.2387011108593016,1611409009886
52.49476723,13.33416218,212,1.2571301110056006,1611409012984
52.49460123,13.3340788,215,1.276432325054927,1611409016103
52.49445086,13.33401076,218,1.2937756178452058,1611409019192
52.49429997,13.3338529,221,1.313668410905204,1611409022300
52.49409104,13.33368089,224,1.3396555989386971,1611409025384
52.49383746,13.33361604,227,1.3681922020178694,1611409028465
52.49366949,13.33355679,230,1.3872955270388463,1611409031536
52.49352795,13.33344174,234,1.4048560158011025,1611409034650
52.49337951,13.33344511,237,1.4213633902772407,1611409037654
52.49322263,13.33353416,240,1.4398200909704104,1611409040747
52.49310335,13.33370072,243,1.4572291088320124,1611409043785
52.49301216,13.333831,246,1.470668353290043,1611409046864
52.49293403,13.3337605,249,1.480580827496653,1611409049937
52.4928929,13.33386502,252,1.4890063568566003,1611409053046
52.49282581,13.3339888,255,1.5002259957090343,1611409056170
52.49276112,13.33408967,258,1.5101446344569296,1611409059264
52.49266462,13.33427344,261,1.526574347443376,1611409062373
52.49256968,13.33446157,264,1.5431174997088195,1611409065448
52.49249183,13.33467479,267,1.5599496644684105,1611409068475
52.49238257,13.33489152,271,1.5789997777592835,1611409071558
52.49225934,13.33519413,274,1.6036473657030679,1611409074642
52.49212711,13.33542916,277,1.6253127585021798,1611409077714
52.49199602,13.33559914,280,1.643884667181664,1611409080835
52.49187929,13.3357156,283,1.659071664103534,1611409083924
52.49176317,13.3358465,286,1.6747325011434158,1611409087053
52.49164731,13.33600866,289,1.6916590859146734,1611409090157
52.49157105,13.33620494,292,1.7074230608753458,1611409093245
