lat,long,timeStamp,Distance
52.554195,13.450637,0,0.0
52.554117,13.450494,2,0.012988203977556376
52.554,13.45039,5,0.027776502504692525
52.553912,13.450475,8,0.03912436541453773
52.55385,13.45049,11,0.046092650255072996
52.553723,13.450427,14,0.06084278371388827
52.553572,13.450277,17,0.08045822034840645
52.553487,13.450035,20,0.09935334482818911
52.55337,13.449801,23,0.11983611371905059
52.553206,13.449619,26,0.14183523602244705
52.553151,13.449486,30,0.1527099332194679
52.553091,13.44942,32,0.16073633278548288
52.552991,13.449424,35,0.17185912899735983
52.552922,13.449465,39,0.18001698560663004
52.55287,13.44958,42,0.1897064540588739
52.552707,13.449786,46,0.2125644471082465
52.552597,13.450147,50,0.23986506362658755
52.552465,13.450549,55,0.27075445300540285
52.552341,13.451029,58,0.3060151390411444
52.552238,13.451357,61,0.330974358132375
52.552146,13.451702,65,0.3564447870670793
52.552045,13.452053,67,0.3826995306769147
52.551947,13.452368,71,0.40662298687345116
52.551847,13.452741,74,0.43418460857752394
52.55175,13.453058,77,0.45817841888618205
52.55165,13.453339,79,0.4801920652824951
52.551559,13.453466,83,0.4934631062525205
52.551449,13.453453,85,0.505726105375795
52.551402,13.453422,88,0.5113569088479868
52.551331,13.453418,91,0.5192563904767339
52.551217,13.453374,94,0.5322770400353827
52.551078,13.453292,97,0.5486974528165761
52.55098,13.453099,100,0.5656983362032957
52.55086,13.453154,103,0.5795502443730474
52.550669,13.453159,106,0.600791195148627
52.550478,13.453082,109,0.6226582602767476
52.550363,13.453071,112,0.6354673054357184
52.550146,13.452983,115,0.6603194166471404
52.549988,13.452851,119,0.6800252634030179
52.549788,13.452752,121,0.7032498449366429
52.549594,13.452712,125,0.7249905746055667
52.549365,13.452649,128,0.7508080904766525
52.549206,13.452649,130,0.7684881082343733
52.549065,13.452672,133,0.7842435542441231
52.548902,13.452721,136,0.8026686848866552
52.548825,13.452709,139,0.8112690665041007
52.548794,13.45272,143,0.8147954443566224
52.548774,13.452717,146,0.8170285779911962
52.548773,13.45271,148,0.8175147771571996
52.548767,13.45271,151,0.8181819476384095
52.548767,13.452705,154,0.8185200284683878
