lat,long
52.463862,13.524514
52.463731,13.524127
52.463314,13.523613
52.463119,13.523371
52.463751,13.52148
52.464423,13.519223
52.464608,13.517979
52.464755,13.515998
52.464762,13.515365
52.464833,13.514617
52.46461,13.513683
52.464357,13.512174
52.464314,13.511908
52.46412,13.510783
52.46374,13.508535
52.463134,13.507249
52.46278,13.506708
52.461801,13.505792
52.460726,13.503711
52.460278,13.502784
52.460829,13.501758
52.459893,13.500197
52.45817,13.497373
52.458039,13.492102
52.459415,13.487132
52.459602,13.486447
52.459947,13.485385
52.460162,13.484613
52.460568,13.482787
52.460828,13.481281
52.461023,13.480655
52.461574,13.478805
52.46202,13.477452
52.462406,13.476685
52.462581,13.476353
52.463396,13.474983
52.463963,13.474134
52.464401,13.473472
52.465206,13.472278
52.466065,13.471012
52.46855,13.467345
52.469026,13.466611
52.469575,13.465761
52.470261,13.464666
52.470796,13.463404
52.471496,13.461059
52.471673,13.460551
52.472687,13.458231
52.473266,13.457088
52.473845,13.455931
52.474544,13.454542
52.475307,13.453008
52.475408,13.452821
52.476767,13.45016
52.477448,13.448785
52.477788,13.448105
52.477898,13.447888
52.479177,13.445254
52.479774,13.444053
52.480391,13.44272
52.48086,13.441795
52.48044,13.439103
52.479972,13.436631
52.480474,13.435912
52.480262,13.433992
52.480048,13.432117
52.480626,13.431931
52.4816,13.431684
52.481373,13.429411
52.481166,13.427756
52.480755,13.425021
52.480489,13.423085
52.480259,13.421091
52.480062,13.419319
52.48013,13.418027
52.480623,13.415719
52.480755,13.415121
52.481767,13.410536
52.482154,13.408857
52.482477,13.407323
52.482723,13.406213
52.483389,13.402838
52.483714,13.400274
52.483977,13.394281
52.485829,13.394343
52.485899,13.388697
