lat,long
52.509802,13.360344
52.509842,13.359183
52.50987,13.358258
52.509808,13.356461
52.509631,13.353748
52.509688,13.352691
52.509648,13.351366
52.509243,13.349748
52.508582,13.349373
52.508171,13.349168
52.507531,13.348426
52.507311,13.348065
52.507135,13.347706
52.506635,13.345704
52.505763,13.34157
52.505165,13.341212
52.504719,13.340858
52.503126,13.339378
52.500868,13.336963
52.500015,13.336081
52.499357,13.335412
52.498504,13.334441
52.499177,13.332949
52.499551,13.330799
52.499422,13.329397
52.498733,13.327432
52.49872,13.326976
52.498262,13.326946
52.497931,13.324375
