lat,long
52.549036,13.415136
52.548699,13.416302
52.548191,13.415888
52.547487,13.41532
52.547643,13.413368
52.547376,13.409829
52.54715,13.407482
52.546991,13.405594
52.546983,13.405476
52.546618,13.401815
52.546571,13.401225
52.546438,13.399367
52.546292,13.397936
52.545988,13.395351
52.545963,13.395174
52.545348,13.393005
52.544677,13.391056
52.544312,13.389867
52.54336,13.386525
52.542476,13.38342
52.542221,13.38297
52.543603,13.380707
52.542745,13.379384
52.542347,13.378782
52.541914,13.37812
52.543083,13.376483
52.542435,13.375667
52.542205,13.373658
52.542157,13.373112
52.541825,13.369835
52.541655,13.369697
52.54113,13.3684
52.541937,13.366956
52.542523,13.366005
