lat,long
52.467061,13.385533
52.46703,13.382605
52.467035,13.379663
52.467032,13.378251
52.467066,13.376825
52.468332,13.374558
52.468697,13.37404
52.469028,13.373375
52.469843,13.372005
52.470487,13.370703
52.470855,13.369935
52.471779,13.368466
52.472798,13.366499
52.473315,13.36534
52.474239,13.362988
52.474641,13.361589
52.474974,13.360791
52.475362,13.359848
52.474688,13.358972
52.473722,13.357704
52.473358,13.357236
52.473234,13.35707
52.472427,13.356028
52.471063,13.354128
52.470434,13.352489
52.470234,13.351055
52.470237,13.349923
52.470318,13.349116
52.470598,13.347331
52.470926,13.345283
52.47116,13.343658
52.470969,13.342989
52.469603,13.341325
52.468493,13.340052
52.468206,13.33994
52.468128,13.339628
52.467277,13.338555
52.466851,13.33807
52.466282,13.337462
52.465156,13.336012
52.464348,13.335044
52.464213,13.335098
52.464139,13.334478
52.46399,13.333296
52.463775,13.331538
52.463635,13.33121
52.463258,13.328696
52.46294,13.326538
52.46253,13.326156
52.461676,13.325333
52.462514,13.322699
52.462485,13.322006
52.463221,13.319663
52.464326,13.316449
52.46357,13.315776
