lat,long
52.489437,13.376768
52.489643,13.37929
52.489863,13.382255
52.490049,13.384968
52.490103,13.385808
52.490061,13.386351
52.491287,13.386907
52.492923,13.387712
52.494119,13.388532
52.495144,13.389405
52.495997,13.389492
52.495949,13.390565
52.496268,13.395077
52.49686,13.395244
52.497594,13.395577
52.497844,13.395689
52.498307,13.396925
52.498405,13.399488
52.498447,13.403035
52.498489,13.406596
52.498473,13.408111
52.498537,13.410511
52.498628,13.412044
52.498533,13.41413
52.498531,13.414321
52.498915,13.41707
52.498939,13.41735
52.499064,13.418208
52.499092,13.418944
52.499127,13.422299
52.49919,13.426391
52.499382,13.430266
52.499336,13.431177
52.499381,13.431973
52.49954,13.433052
52.499832,13.43518
52.499999,13.436304
52.50026,13.437931
52.500665,13.440416
52.500526,13.441573
52.50095,13.442323
52.500986,13.443118
52.500872,13.444527
52.501119,13.444947
52.502343,13.446445
52.502725,13.446855
52.503556,13.444117
52.50483,13.445189
52.505172,13.44426
52.506758,13.445637
