lat,long
52.506152,13.419623
52.506594,13.417814
52.506979,13.416355
52.507497,13.415034
52.507983,13.414109
52.508323,13.413503
52.508423,13.413315
52.507549,13.412712
52.507259,13.412069
52.507231,13.411333
52.506894,13.41013
52.507057,13.410018
52.506558,13.408795
52.506277,13.408109
52.506234,13.408004
52.50619,13.40787
52.505754,13.406664
52.505193,13.405292
52.506167,13.401721
52.507122,13.398281
52.5072,13.397754
52.506994,13.39432
52.506854,13.392314
52.50673,13.390501
52.506548,13.388273
52.506382,13.386135
52.505397,13.38666
52.504544,13.38241
52.504104,13.381542
52.503384,13.379973
52.503296,13.379793
52.502786,13.378688
52.502681,13.378449
52.501969,13.376939
52.5016,13.376132
52.500599,13.373995
52.500555,13.373891
52.500459,13.373652
52.50041,13.373165
52.500105,13.373066
52.499993,13.37268
52.499822,13.371807
52.499882,13.37125
52.499943,13.370663
52.498844,13.36914
52.499282,13.366095
52.499488,13.364543
52.499704,13.362917
52.500498,13.360164
52.500619,13.359756
52.50104,13.358284
52.500803,13.357776
52.500623,13.356976
52.499818,13.354095
52.499932,13.352686
52.500027,13.351425
52.500312,13.349992
52.500745,13.348286
52.500858,13.34779
52.501094,13.346768
52.5003,13.346182
52.500171,13.344839
52.499984,13.342965
52.499843,13.341062
52.499576,13.339185
52.499299,13.337381
52.499357,13.335412
52.500573,13.331863
52.500493,13.330948
52.50031,13.328809
52.500131,13.327082
52.500002,13.324886
