Ride,Starting Timestamp,Percentage Overlap,Percentage Overlap - One Grid Over,User Ride Duration,Recommended Ride Duration,User Ride Distance,Recommended Ride Distance
VM2_-131165492,1609859133484.0,0.2294455066921606,0.2829827915869981,1623.0,1818.4,7.834417706738485,8.55
VM2_-1314003070,1611254372514.0,0.42614601018675724,0.533106960950764,1802.0,1918.6,8.182935119136381,9.1047
VM2_-1319811517,1611763051346.0,0.4076827757125155,0.18339529120198264,2500.0,3013.8,12.9338498555378,14.177
VM2_-1321442728,1615891618999.0,0.5175879396984925,0.4824120603015075,599.0,480.8,2.6359532861414903,2.4042
VM2_-1324118405,1611773497655.0,0.5517241379310345,0.4051724137931034,353.0,503.1,1.4349431371160302,2.3908
VM2_-1324882790,1614699618406.0,0.28776978417266186,0.17026378896882494,1294.0,1788.3,7.49714291462621,8.5211
VM2_-1325557394,1609855625086.0,0.9354838709677419,0.06451612903225806,471.0,520.1,2.249644946303444,2.2366
VM2_-1339304004,1607532259359.0,0.9680851063829787,0.015957446808510637,572.0,520.3,2.489787852039166,2.5104
VM2_-1340559715,1615721868000.0,0.05124450951683748,0.04538799414348463,2059.0,2957.0,12.403370349522117,13.7459
VM2_-1342558976,1615661657000.0,0.8611111111111112,0.1388888888888889,106.0,91.80000000000001,0.3656922186861671,0.4243
VM2_-1344031740,1614066214473.0,0.12255257432922408,0.05148658448150834,4172.0,2786.4,13.243259969548657,13.5408
VM2_-1345019658,1610919174949.0,0.13738441215323646,0.10700132100396301,2311.0,3256.6,13.843165902943277,15.1894
VM2_-1348942546,1616395630798.0,1.0,0.0,219.0,69.4,0.4493470368626674,0.3472
VM2_-1349058654,1615534113000.0,0.9104477611940298,0.08955223880597014,400.0,373.8,1.3278378574563787,1.4259
VM2_-1354619097,1613581417000.0,0.8232044198895028,0.17679558011049723,545.0,454.9,2.165979931398283,2.0492
VM2_-1360421149,1614262568999.0,0.2945205479452055,0.5171232876712328,880.0,625.2,3.5036519520201,3.1264
VM2_-1364619276,1610133378702.0,0.803921568627451,0.19607843137254902,465.0,454.5,2.036628423176324,2.0782
VM2_-1371659954,1615372733000.0,0.92,0.08,450.0,442.6,1.959230369439307,2.1282
VM2_-1377979212,1609256383102.0,0.6923076923076923,0.09283819628647215,1154.0,1268.1,5.470628472347777,6.0707
VM2_-1392777742,1615400824000.0,0.7250755287009063,0.24471299093655588,999.0,1057.7,5.2984016651839925,5.1441
VM2_-1393075041,1615302771000.0,0.5899581589958159,0.4100418410041841,718.0,618.7,2.795222208016594,2.9303
VM2_-1395095196,1609598616584.0,0.526829268292683,0.2975609756097561,628.0,650.4,2.365053596095732,2.805
VM2_-139534585,1616937690243.0,0.12882096069868995,0.12554585152838427,3357.0,144.2,12.262557790625598,0.6697
VM2_-1401301376,1609854988284.0,0.5449438202247191,0.38202247191011235,546.0,582.2,2.7038231435547453,2.7258
VM2_-1404028446,1616247884000.0,0.85,0.15,178.0,118.4,0.5187377981591332,0.5233
VM2_-1410393883,1615408880000.0,0.13282247765006386,0.18518518518518517,2359.0,3249.8,13.815079752240468,15.143
VM2_-1416520058,1611757013495.0,0.6583629893238434,0.3416370106761566,881.0,988.5000000000001,4.757419805644946,4.6406
