Ride,Starting Timestamp,Percentage Overlap,Percentage Overlap - One Grid Over,User Ride Duration,Recommended Ride Duration,User Ride Distance,Recommended Ride Distance
VM2_529026831,1612030929770.0,0.75,0.25,423.0,301.7,0.9615034011430312,1.102
VM2_529939754,1603453049523.0,0.011655011655011656,0.03496503496503497,2613.0,3263.3,14.325379091339398,15.3851
VM2_532145708,1611081286446.0,0.07127659574468086,0.2,2881.0,2956.8,14.348363932810887,13.5028
VM2_534817138,1610389953231.0,0.04551045510455105,0.0996309963099631,2496.0,2982.5,13.766182342387935,13.7217
VM2_541579476,1616760196000.0,0.6081081081081081,0.35135135135135137,220.0,227.4,0.8378384410654721,1.1375
VM2_542683180,1614690338394.0,0.18810289389067525,0.17041800643086816,2216.0,2269.7,10.89129767720141,11.1855
VM2_546067958,1617210480272.0,0.07916666666666666,0.05,2474.0,3913.4,15.79536290257752,19.1621
VM2_571796834,1616955621185.0,0.1,0.36818181818181817,780.0,1012.2,4.793244528999386,4.9923
VM2_574257936,1604944168432.0,0.009485094850948509,0.02981029810298103,2254.0,3007.5,12.944501512978254,13.7957
VM2_576629523,1611811635321.0,0.15966386554621848,0.13025210084033614,736.0,955.0,3.502252091802465,4.6117
VM2_581007569,1613575091305.0,0.10473815461346633,0.10473815461346633,1242.0,1785.2,7.743166224549907,8.4594
VM2_582239204,1615131936000.0,0.0928030303030303,0.22348484848484848,1591.0,1732.1,7.413660750714096,8.1855
VM2_585054784,1615313226000.0,0.8021978021978022,0.1978021978021978,547.0,547.7,2.6081409776165967,2.6627
VM2_590624347,1614770344000.0,0.6068376068376068,0.3803418803418803,704.0,611.0,2.733612937288619,2.7599
VM2_597378495,1614517295000.0,0.2929782082324455,0.6368038740920097,1248.0,1460.6,6.561364018849618,6.6987
VM2_604628296,1611500402891.0,0.7441860465116279,0.18604651162790697,129.0,106.6,0.6214326348916122,0.533
VM2_606205127,1610566066087.0,0.33098591549295775,0.39436619718309857,432.0,619.9,2.1222465049180785,2.9034
VM2_610300406,1614009540091.0,0.24028268551236748,0.3586572438162544,1755.0,1747.7,8.05803665308415,7.9936
VM2_611405573,1609630907101.0,1.0,0.0,193.0,159.1,0.3646565308669318,0.4892
VM2_616771203,1612196727595.0,0.17307692307692307,0.3269230769230769,2011.0,1631.2,6.414101331192501,7.4011
VM2_619377689,1616704540000.0,0.11475409836065574,0.02395964691046658,2390.0,3244.2,13.790321102264862,15.1019
